fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,sulphates,alcohol,quality,pH
7.4,0.7,0,1.9,0.076,0.9978,0.56,9.4,5,3.51
7.8,0.88,0,2.6,0.098,0.9968,0.68,9.8,5,3.2
7.8,0.76,0.04,2.3,0.092,0.997,0.65,9.8,5,3.26
11.2,0.28,0.56,1.9,0.075,0.998,0.58,9.8,6,3.16
7.4,0.7,0,1.9,0.076,0.9978,0.56,9.4,5,3.51
7.4,0.66,0,1.8,0.075,0.9978,0.56,9.4,5,3.51
7.9,0.6,0.06,1.6,0.069,0.9964,0.46,9.4,5,3.3
7.3,0.65,0,1.2,0.065,0.9946,0.47,10,7,3.39
7.8,0.58,0.02,2,0.073,0.9968,0.57,9.5,7,3.36
7.5,0.5,0.36,6.1,0.071,0.9978,0.8,10.5,5,3.35
6.7,0.58,0.08,1.8,0.097,0.9959,0.54,9.2,5,3.28
7.5,0.5,0.36,6.1,0.071,0.9978,0.8,10.5,5,3.35
5.6,0.615,0,1.6,0.089,0.9943,0.52,9.9,5,3.58
7.8,0.61,0.29,1.6,0.114,0.9974,1.56,9.1,5,3.26
8.9,0.62,0.18,3.8,0.176,0.9986,0.88,9.2,5,3.16
8.9,0.62,0.19,3.9,0.17,0.9986,0.93,9.2,5,3.17
8.5,0.28,0.56,1.8,0.092,0.9969,0.75,10.5,7,3.3
8.1,0.56,0.28,1.7,0.368,0.9968,1.28,9.3,5,3.11
7.4,0.59,0.08,4.4,0.086,0.9974,0.5,9,4,3.38
7.9,0.32,0.51,1.8,0.341,0.9969,1.08,9.2,6,3.04
8.9,0.22,0.48,1.8,0.077,0.9968,0.53,9.4,6,3.39
7.6,0.39,0.31,2.3,0.082,0.9982,0.65,9.7,5,3.52
7.9,0.43,0.21,1.6,0.106,0.9966,0.91,9.5,5,3.17
8.5,0.49,0.11,2.3,0.084,0.9968,0.53,9.4,5,3.17
6.9,0.4,0.14,2.4,0.085,0.9968,0.63,9.7,6,3.43
6.3,0.39,0.16,1.4,0.08,0.9955,0.56,9.3,5,3.34
7.6,0.41,0.24,1.8,0.08,0.9962,0.59,9.5,5,3.28
7.9,0.43,0.21,1.6,0.106,0.9966,0.91,9.5,5,3.17
7.1,0.71,0,1.9,0.08,0.9972,0.55,9.4,5,3.47
7.8,0.645,0,2,0.082,0.9964,0.59,9.8,6,3.38
6.7,0.675,0.07,2.4,0.089,0.9958,0.54,10.1,5,3.35
6.9,0.685,0,2.5,0.105,0.9966,0.57,10.6,6,3.46
8.3,0.655,0.12,2.3,0.083,0.9966,0.66,9.8,5,3.17
6.9,0.605,0.12,10.7,0.073,0.9993,0.52,9.4,6,3.45
5.2,0.32,0.25,1.8,0.103,0.9957,0.55,9.2,5,3.38
7.8,0.645,0,5.5,0.086,0.9986,0.55,9.6,6,3.4
7.8,0.6,0.14,2.4,0.086,0.9975,0.6,10.8,6,3.42
8.1,0.38,0.28,2.1,0.066,0.9968,0.73,9.7,7,3.23
5.7,1.13,0.09,1.5,0.172,0.994,0.48,9.8,4,3.5
7.3,0.45,0.36,5.9,0.074,0.9978,0.83,10.5,5,3.33
7.3,0.45,0.36,5.9,0.074,0.9978,0.83,10.5,5,3.33
8.8,0.61,0.3,2.8,0.088,0.9976,0.51,9.3,4,3.26
7.5,0.49,0.2,2.6,0.332,0.9968,0.9,10.5,6,3.21
8.1,0.66,0.22,2.2,0.069,0.9968,1.2,10.3,5,3.3
6.8,0.67,0.02,1.8,0.05,0.9962,0.52,9.5,5,3.48
4.6,0.52,0.15,2.1,0.054,0.9934,0.56,13.1,4,3.9
7.7,0.935,0.43,2.2,0.114,0.997,0.73,9.2,5,3.25
8.7,0.29,0.52,1.6,0.113,0.9969,0.58,9.5,5,3.25
6.4,0.4,0.23,1.6,0.066,0.9958,0.56,9.2,5,3.34
5.6,0.31,0.37,1.4,0.074,0.9954,0.58,9.2,5,3.32
8.8,0.66,0.26,1.7,0.074,0.9971,0.74,9.2,5,3.15
6.6,0.52,0.04,2.2,0.069,0.9956,0.63,9.4,6,3.4
6.6,0.5,0.04,2.1,0.068,0.9955,0.64,9.4,6,3.39
8.6,0.38,0.36,3,0.081,0.997,0.56,9.4,5,3.2
7.6,0.51,0.15,2.8,0.11,0.9955,0.63,10.2,6,3.17
7.7,0.62,0.04,3.8,0.084,0.9978,0.53,9.5,5,3.34
10.2,0.42,0.57,3.4,0.07,0.9971,0.63,9.6,5,3.04
7.5,0.63,0.12,5.1,0.111,0.9983,0.77,9.4,5,3.26
7.8,0.59,0.18,2.3,0.076,0.9975,0.59,10,5,3.43
7.3,0.39,0.31,2.4,0.074,0.9962,0.54,9.4,6,3.41
8.8,0.4,0.4,2.2,0.079,0.998,0.64,9.2,5,3.44
7.7,0.69,0.49,1.8,0.115,0.9968,0.71,9.3,5,3.21
7.5,0.52,0.16,1.9,0.085,0.9968,0.62,9.5,7,3.38
7,0.735,0.05,2,0.081,0.9966,0.57,9.8,5,3.39
7.2,0.725,0.05,4.65,0.086,0.9962,0.39,10.9,5,3.41
7.2,0.725,0.05,4.65,0.086,0.9962,0.39,10.9,5,3.41
7.5,0.52,0.11,1.5,0.079,0.9968,0.58,9.6,5,3.42
6.6,0.705,0.07,1.6,0.076,0.9962,0.58,10.7,5,3.44
9.3,0.32,0.57,2,0.074,0.9969,0.79,10.7,5,3.28
8,0.705,0.05,1.9,0.074,0.9962,0.95,10.5,6,3.34
